Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Disabled (uV),F3 (uV),Fz (uV),F4 (uV),Disabled (uV),C3 (uV),Cz (uV),C4 (uV),Disabled (uV),P3 (uV),Pz (uV),P4 (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,2837,12,-30,,-3,-16,-16,,-14,-4,-16,,1,-13,-8,,,14,,,,,
,3684,-1,8,,-1,5,7,,-8,12,9,,-1,15,1,,,-7,,,,,
,-43,15,4,,-4,15,7,,3,-4,,,-6,-4,5,,,2,,,,,
,-3439,-26,10,,,-10,-15,,7,-3,,,-3,-8,-4,,,-2,,,,,
,-3539,-14,10,,8,-1,4,,12,1,7,,20,2,10,,,3,,,,,
,-1287,16,-8,,2,6,12,,2,-1,-14,,-7,5,-10,,,-3,,,,,
,1906,,-5,,-3,15,6,,-4,2,5,,-2,-9,10,,,7,,,,,
,4836,-10,-7,,-13,-16,-5,,-10,-4,-1,,-4,-6,-4,,,-2,,,,,
,-3420,-12,9,,-2,-2,-7,,1,2,15,,-2,4,2,,,-8,,,,,
,9069,21,-5,,1,-5,-7,,,-6,2,,,-4,-7,,,1,,,,,
,-3734,13,,,3,-10,-12,,-11,-4,-28,,-4,-4,8,,,1,,,,,
,-3392,-35,9,,13,8,17,,12,14,16,,-5,,,,,8,,,,,
,-3513,-9,,,-13,12,16,,3,,6,,-1,5,4,,,1,,,,,
,6840,9,,,3,-1,-10,,5,-2,-13,,6,7,-3,,,-1,,,,,
,-3475,19,-15,,4,-8,3,,-17,6,-8,,7,-1,-6,,,4,,,,,
,1515,-29,-3,,-4,-11,-10,,-5,-10,10,,-7,11,4,,,-13,,,,,
,-3398,25,-2,,-19,12,4,,-4,-7,-2,,-4,-8,-4,,,-4,,,,,
,-2392,-28,-2,,-6,-8,11,,17,8,6,,1,-14,-6,,,10,,,,,
,-920,17,12,,35,17,-3,,16,16,16,,15,11,3,,,9,,,,,
,453,-30,10,,-10,-13,-23,,-2,-13,-14,,1,-10,-4,,,-5,,,,,
,435,-5,-9,,11,-6,4,,-10,10,15,,-6,5,12,,,-1,,,,,
,-614,,-9,,-15,18,6,,,-4,,,-3,18,-9,,,-9,,,,,
,18,18,,,11,5,-2,,-6,-17,-10,,1,-12,1,,,1,,,,,
,-489,4,13,,6,-5,3,,8,2,,,8,-4,14,,,13,,,,,
,1602,-17,10,,2,15,21,,5,17,-3,,6,14,-2,,,-7,,,,,
,-944,13,5,,-3,-18,-11,,-18,6,9,,-4,-7,-4,,,-7,,,,,
,5132,-19,-6,,-11,-12,-20,,-1,-21,-19,,-8,-8,4,,,-4,,,,,
,-846,,-9,,7,15,9,,2,-1,,,3,3,1,,,16,,,,,
,263,6,8,,3,-13,21,,2,2,,,,-8,-3,,,11,,,,,
,-3474,-6,2,,-8,6,2,,12,11,4,,,7,,,,-6,,,,,
,1661,-12,-12,,-22,-8,-18,,4,2,-3,,-5,-5,,,,-11,,,,,
,-2821,9,2,,1,-8,-2,,-10,-6,,,1,7,8,,,-12,,,,,
,4057,4,2,,9,11,-17,,-2,-12,4,,-1,-1,-18,,,15,,,,,
,-3485,4,-14,,6,1,7,,-8,-4,-13,,-6,,-3,,,-5,,,,,
,3441,-34,,,4,1,6,,16,5,-7,,11,-1,11,,,3,,,,,
,-1399,45,5,,,,-1,,-10,1,9,,1,-14,5,,,-3,,,,,
,-2330,-29,7,,8,17,11,,11,15,28,,4,23,2,,,,,,,,
,-179,5,-4,,-4,-14,-9,,-6,-10,-11,,-15,-7,-13,,,-9,,,,,
,-368,-4,-3,,-5,-10,7,,3,,-14,,7,-10,5,,,8,,,,,
,2721,-27,3,,3,9,6,,1,5,-1,,-8,13,-9,,,11,,,,,
,-1921,23,13,,5,6,-9,,4,-4,7,,3,6,15,,,-20,,,,,
